1558082108.343:1887764494,28A77C07-C5AA-D9F8-1BE8-7B6286623B63:landscape-sysin,MMAP,98D769EB-746A-2508-9431-D9CD54DA5168,/etc/passwd,null
1558082108.335:1887764110,CA67EE84-A186-E0FB-1300-7A5272A59ACF:50-landscape-sy,EXECUTE,28A77C07-C5AA-D9F8-1BE8-7B6286623B63,landscape-sysin,null
1558082108.335:1887764108,D3A0513A-8939-13BA-99BB-455256141061:50-landscape-sy,FORK,CA67EE84-A186-E0FB-1300-7A5272A59ACF,50-landscape-sy,null
1558082108.331:1887763860,6B6E256C-4B0F-188E-7BC3-C9BB618F8D0D:run-parts,EXECUTE,D3A0513A-8939-13BA-99BB-455256141061,50-landscape-sy,null
1558082108.331:1887763840,916EE82F-A195-AB87-BA83-1E7510B8CDF4:run-parts,FORK,6B6E256C-4B0F-188E-7BC3-C9BB618F8D0D,run-parts,null
1558082108.327:1887763509,95B171C8-F106-B715-972C-9261804E95F3:env,EXECUTE,916EE82F-A195-AB87-BA83-1E7510B8CDF4,run-parts,null
1558082108.327:1887763478,C5B5DE8C-3A91-AFBC-FC51-802B5DFC8BCD:sh,EXECUTE,95B171C8-F106-B715-972C-9261804E95F3,env,null
1558082108.327:1887763458,E89C5AFD-805C-7956-89BD-3E4BB4E3DF38:sh,FORK,C5B5DE8C-3A91-AFBC-FC51-802B5DFC8BCD,sh,null
1558082108.327:1887763414,1B25332A-3C11-29D3-D373-690C1565E536:sshd,EXECUTE,E89C5AFD-805C-7956-89BD-3E4BB4E3DF38,sh,null
1558082108.327:1887763403,22BF8AE7-CDF8-97D9-312C-CFA5FFEAFD04:sshd,FORK,1B25332A-3C11-29D3-D373-690C1565E536,sshd,null
1558082108.327:1887763390,22BF8AE7-CDF8-97D9-312C-CFA5FFEAFD04:sshd,MMAP,98D769EB-746A-2508-9431-D9CD54DA5168,/etc/passwd,null
1558082108.291:1887762950,22BF8AE7-CDF8-97D9-312C-CFA5FFEAFD04:sshd,MMAP,98D769EB-746A-2508-9431-D9CD54DA5168,/etc/passwd,null
