,host,detection_timestamp,Compromised Process,Inter_process,SYSCALL_2,detection_details,threat_Score,certainity_Score
0,ta1-trace-2,2019-05-14T10:26:49.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:849361A2-2002-8F55-A5AC-EAC342EC73A2,EXECUTE,sh,2.0,10.0
1,ta1-trace-2,2019-05-14T10:27:40.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:D0F6F54D-F8EA-5F9D-95C8-B7CFAA28447F,EXECUTE,sh,2.0,10.0
2,ta1-trace-2,2019-05-14T10:28:28.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:BCFC75A7-98DA-0B72-C708-4EF6A2942572,EXECUTE,sh,2.0,10.0
3,ta1-trace-2,2019-05-14T10:27:42.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:3E5AFC63-FC02-19DD-DDEC-A685BBEBAC10,EXECUTE,sh,2.0,10.0
4,ta1-trace-2,2019-05-14T10:33:15.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:121A6CA1-2F5E-7C64-7752-042CF3EF2A3B,EXECUTE,sh,2.0,0.0
5,ta1-trace-2,2019-05-14T10:39:21.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:E38A09AB-6FC3-5049-72E0-CEA09CDAA260,EXECUTE,sh,2.0,0.0
6,ta1-trace-2,2019-05-14T10:34:47.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:670E52C9-8828-37A4-1E86-BD5B62FACF59,EXECUTE,sh,2.0,0.0
7,ta1-trace-2,2019-05-14T10:27:58.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:B87D4159-BE35-EDC2-BB28-5DCD8BE484C8,EXECUTE,sh,2.0,10.0
8,ta1-trace-2,2019-05-14T10:27:58.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sh:923DFCC7-D358-D2D2-8998-7EE5454B2454,FORK,sh,2.0,10.0
9,ta1-trace-2,2019-05-14T10:37:44.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:4A7C8B8F-A51A-25D7-3129-3B30F884C8D9,EXECUTE,sh,2.0,0.0
10,ta1-trace-2,2019-05-14T10:30:27.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:645C44F8-2861-1ABA-B034-DD475DAFF8F4,EXECUTE,sh,2.0,10.0
11,ta1-trace-2,2019-05-14T10:27:21.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:27914BF1-1495-3E8F-F7C9-CF62A5FF44D9,EXECUTE,sh,2.0,10.0
12,ta1-trace-2,2019-05-14T10:26:54.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:72A07B11-E7C9-6CCC-072D-2F094EC5717D,EXECUTE,sh,2.0,10.0
13,ta1-trace-2,2019-05-14T10:41:11.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:DFE6D5BE-D7C3-4827-1379-14CB0835C357,EXECUTE,sh,2.0,0.0
14,ta1-trace-2,2019-05-14T10:27:51.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:D99752DA-DFD2-64C1-518A-60EFB4C058BC,EXECUTE,sh,2.0,10.0
15,ta1-trace-2,2019-05-14T10:27:11.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:DA434E02-7FCD-6676-B27F-85FB00802D5C,EXECUTE,sh,2.0,10.0
16,ta1-trace-2,2019-05-14T10:29:29.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:92E153DA-B7E8-C5F5-F0A8-C6AA94C32B45,EXECUTE,sh,2.0,10.0
17,ta1-trace-2,2019-05-14T10:28:03.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:91F0CA24-B383-395E-AC8B-FB28186F4F63,FORK,sh,2.0,10.0
18,ta1-trace-2,2019-05-14T10:27:39.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:ECBAA767-6070-DE8C-CAB4-FE0B471F88F8,EXECUTE,sh,2.0,10.0
19,ta1-trace-2,2019-05-14T10:27:45.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:0EC2404B-CC15-3F36-987B-CA6F7926C04C,EXECUTE,sh,2.0,10.0
20,ta1-trace-2,2019-05-14T10:26:11.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:7BC721B0-3D6F-527C-FEE1-6948C7725D15,EXECUTE,sh,2.0,10.0
21,ta1-trace-2,2019-05-14T10:23:38.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:C7FB6D50-233E-3349-9BD1-DEB8E9325DF7,EXECUTE,sh,2.0,10.0
22,ta1-trace-2,2019-05-14T10:41:37.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:E08333DA-D7CE-14E2-E028-A88D82A1C037,EXECUTE,sh,2.0,0.0
23,ta1-trace-2,2019-05-14T10:27:24.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:07BB4297-D421-6235-3EBB-F3DD1DFFA71E,EXECUTE,sh,2.0,10.0
24,ta1-trace-2,2019-05-14T10:25:18.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:965EFEEE-F72E-FC09-BBE8-32CB56D7D625,EXECUTE,sh,2.0,10.0
25,ta1-trace-2,2019-05-14T11:22:54.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:6E34F6C7-8178-FAB0-EA8C-7FAA7CD89DC6,EXECUTE,sh,2.0,0.0
26,ta1-trace-2,2019-05-14T11:02:28.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:880DB2C4-8749-4E2C-7364-0CFB168829DD,EXECUTE,sh,2.0,0.0
27,ta1-trace-2,2019-05-14T11:11:10.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:C482C3E1-0EA1-23C1-4CC9-10C90A6142F3,EXECUTE,sh,2.0,0.0
28,ta1-trace-2,2019-05-14T11:04:57.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:972C2CEE-8D82-4E4E-36AB-CB8307B941BA,EXECUTE,sh,2.0,0.0
29,ta1-trace-2,2019-05-14T10:49:02.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:167ED6ED-278C-F62D-4EEC-734836852AC0,EXECUTE,sh,2.0,0.0
30,ta1-trace-2,2019-05-14T10:56:55.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:BE6771FB-6446-D33F-0B37-EBFC333F8F4D,EXECUTE,sh,2.0,0.0
31,ta1-trace-2,2019-05-14T11:22:56.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:B832EF52-E14A-5959-CE07-7AD83CB9DA3D,EXECUTE,sh,2.0,0.0
32,ta1-trace-2,2019-05-14T11:11:57.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:9AF69A01-889E-81A5-0FA8-8213DFB04D31,EXECUTE,sh,2.0,0.0
33,ta1-trace-2,2019-05-14T11:25:01.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:3E3B838B-B604-32B9-0945-AB73863B9886,EXECUTE,sh,2.0,0.0
34,ta1-trace-2,2019-05-14T11:06:16.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:89AD584B-F67A-6B4C-1365-7776CABC1E47,EXECUTE,sh,2.0,0.0
35,ta1-trace-2,2019-05-14T11:12:57.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:7D1388F1-C1F9-9790-A9CD-22AA58AFD804,EXECUTE,sh,2.0,0.0
36,ta1-trace-2,2019-05-14T10:53:45.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:87EE6D90-9928-0F81-924C-7046F9280E08,EXECUTE,sh,2.0,0.0
37,ta1-trace-2,2019-05-14T10:50:51.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:D5355E7A-2F18-ED47-AACC-FBF17F1E3C1B,EXECUTE,sh,2.0,0.0
38,ta1-trace-2,2019-05-14T10:52:30.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:A6F75510-0035-BE55-B4B9-30DB81BEDFE9,EXECUTE,sh,2.0,0.0
39,ta1-trace-2,2019-05-14T11:20:43.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:7EF1AD74-B2A4-49E9-F0D4-21DF79926360,EXECUTE,sh,2.0,0.0
40,ta1-trace-2,2019-05-14T10:47:11.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:EC7A9AB9-F5DD-1E97-A920-DE3C6A7F3448,EXECUTE,sh,2.0,0.0
41,ta1-trace-2,2019-05-14T10:51:53.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:6A943AE3-CC89-1128-9B2A-52E4B796DC58,EXECUTE,sh,2.0,0.0
42,ta1-trace-2,2019-05-14T10:44:13.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:4647CAB2-005A-4BE9-B6C0-046A71C18FB1,EXECUTE,sh,2.0,0.0
43,ta1-trace-2,2019-05-14T11:02:28.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:9F1BB93F-F057-6281-9C9A-EC79D9FE630B,EXECUTE,sh,2.0,0.0
44,ta1-trace-2,2019-05-14T10:49:43.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:75CE38D8-B0CF-7EC5-70C7-3AB4F51FF1C4,EXECUTE,sh,2.0,0.0
45,ta1-trace-2,2019-05-14T11:05:23.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:878B4602-9B02-C4BE-3587-AA89B362BB7E,EXECUTE,sh,2.0,0.0
46,ta1-trace-2,2019-05-14T11:14:41.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:053D9E66-99F9-33A9-A2C7-EE678595182A,EXECUTE,sh,2.0,0.0
47,ta1-trace-2,2019-05-14T10:58:27.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:F4A82372-02A4-4092-9EEC-7C4FF448A240,EXECUTE,sh,2.0,0.0
48,ta1-trace-2,2019-05-14T10:56:50.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:489D665F-182A-F1D5-FDBC-537C7A0B9783,EXECUTE,sh,2.0,0.0
49,ta1-trace-2,2019-05-14T10:42:42.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:4C92BFE4-973A-5C50-299A-665292C7709B,EXECUTE,sh,2.0,0.0
50,ta1-trace-2,2019-05-14T10:54:39.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:CF7D51FD-7C3C-CEAE-6483-12741193EDF1,EXECUTE,sh,2.0,0.0
51,ta1-trace-2,2019-05-14T11:11:58.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:66EB639B-42D2-E7C2-0323-ADE33A083C54,EXECUTE,sh,2.0,0.0
52,ta1-trace-2,2019-05-14T10:58:41.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:09E26464-DBAB-EF37-1A4A-EAD17084E002,EXECUTE,sh,2.0,0.0
53,ta1-trace-2,2019-05-14T10:44:22.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:C7841414-1D99-BC32-1DF8-452FF131D11F,EXECUTE,sh,2.0,0.0
