,host,detection_timestamp,Compromised Process,Inter_process,SYSCALL_2,detection_details,threat_Score,certainity_Score
0,ta1-trace-2,2019-05-14T10:27:11.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:0693B71A-92FE-183D-E87E-FAEF274B6A5A,EXECUTE,sshd,2.0,10.0
1,ta1-trace-2,2019-05-14T10:25:18.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:22F0D460-2653-8002-3C0A-AF2238DD8B8F,EXECUTE,sshd,2.0,10.0
2,ta1-trace-2,2019-05-14T10:25:18.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:E1DB309C-B2AC-C6CD-53C2-41FBE7606E59,FORK,sshd,2.0,10.0
3,ta1-trace-2,2019-05-14T10:23:38.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:5D987BDF-5134-74B2-7072-FCDADCDF4C35,EXECUTE,sshd,2.0,10.0
4,ta1-trace-2,2019-05-14T10:28:28.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:4D420A08-B9C2-A23A-D75C-73AD625FEE96,EXECUTE,sshd,2.0,10.0
5,ta1-trace-2,2019-05-14T10:28:28.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:4A077067-987D-6891-74B7-6B2CD52E0DA8,FORK,sshd,2.0,10.0
6,ta1-trace-2,2019-05-14T10:28:28.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:BCFC75A7-98DA-0B72-C708-4EF6A2942572,EXECUTE,sh,2.0,10.0
7,ta1-trace-2,2019-05-14T10:41:37.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:EB2F49EC-7C45-F79F-E733-F492974EA083,EXECUTE,sshd,2.0,0.0
8,ta1-trace-2,2019-05-14T10:41:37.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:7E97220F-51B3-9C42-21F6-A2D5B6FEF268,FORK,sshd,2.0,0.0
9,ta1-trace-2,2019-05-14T10:41:38.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:7E97220F-51B3-9C42-21F6-A2D5B6FEF268,FORK,sshd,2.0,0.0
10,ta1-trace-2,2019-05-14T10:41:37.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:E08333DA-D7CE-14E2-E028-A88D82A1C037,EXECUTE,sh,2.0,0.0
11,ta1-trace-2,2019-05-14T10:30:27.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:692BB83A-D7FF-6897-C8D3-9BDDF2F76D06,EXECUTE,sshd,2.0,10.0
12,ta1-trace-2,2019-05-14T10:30:27.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:4C2FCBF7-C9CA-0CDB-0D13-3339F7EB3D1D,FORK,sshd,2.0,10.0
13,ta1-trace-2,2019-05-14T10:30:27.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:645C44F8-2861-1ABA-B034-DD475DAFF8F4,EXECUTE,sh,2.0,10.0
14,ta1-trace-2,2019-05-14T10:27:21.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:87B3E672-B34A-D207-D0B6-D8EFFF5C7DBC,EXECUTE,sshd,2.0,10.0
15,ta1-trace-2,2019-05-14T10:39:21.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:4DBB36A6-06D1-34B7-5FF0-A87CBA986EDB,EXECUTE,sshd,2.0,0.0
16,ta1-trace-2,2019-05-14T10:39:21.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:7A369BB5-CB16-2CB6-FEAF-EBB975BC5270,FORK,sshd,2.0,0.0
17,ta1-trace-2,2019-05-14T10:39:21.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:E38A09AB-6FC3-5049-72E0-CEA09CDAA260,EXECUTE,sh,2.0,0.0
18,ta1-trace-2,2019-05-14T10:37:44.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:0C6AC626-E64E-1297-6E4E-437982773EA7,EXECUTE,sshd,2.0,0.0
19,ta1-trace-2,2019-05-14T10:37:44.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:28BC32C6-04C0-2614-2363-4D9501536027,FORK,sshd,2.0,0.0
20,ta1-trace-2,2019-05-14T10:37:44.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:4A7C8B8F-A51A-25D7-3129-3B30F884C8D9,EXECUTE,sh,2.0,0.0
21,ta1-trace-2,2019-05-14T10:26:54.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:B3FCC1FD-9D13-72F6-5151-52E212296980,EXECUTE,sshd,2.0,10.0
22,ta1-trace-2,2019-05-14T10:27:24.000000000,sshd:DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD,sshd:FC558D65-75D7-6B5A-79A4-0D877B471136,EXECUTE,sshd,2.0,10.0
